annual_income_k,spending_score,cluster
88.93,34.96,0
68.86,31.5,0
73.35,33.65,0
77.29,54.03,1
72.24,29.42,0
64.64,32.01,0
72.33,40.51,0
82.88,41.06,0
57.68,41.87,0
71.6,36.39,0
61.6,18.57,0
84.34,46.33,0
51.72,18.54,0
63.29,33.03,0
74.53,22.46,0
88.79,29.36,0
69.21,33.29,0
63.34,33.21,0
92.57,34.22,0
52.62,46.14,0
43.61,34.54,2
75.28,27.56,0
63.98,39.64,0
57.75,41.89,0
78.5,17.72,0
72.93,35.97,0
63.23,37.01,0
54.64,27.02,0
80.47,43.76,0
77.8,28.5,0
68.81,31.26,0
92.16,28.27,0
57.16,30.16,0
51.69,19.04,0
61.7,15.6,0
69.45,45.95,0
72.92,21.53,0
67.11,20.09,0
74.22,8.47,0
54.98,23.61,0
87.33,16.77,0
69.01,46.42,0
83.41,40.1,0
74.11,23.12,0
75.48,52.52,0
76.84,39.82,0
75.37,26.75,0
77.71,5.01,0
85.95,52.91,1
72.36,16.1,0
78.51,13.55,0
68.92,40.23,0
87.28,54.4,1
61.88,43.84,0
91.61,35.64,0
69.52,35.95,0
52.83,38.53,0
71.54,37.59,0
61.83,32.81,0
80.09,31.04,0
62.17,29.37,0
64.65,22.46,0
47.33,27.19,2
64.57,13.07,0
40.91,29.02,2
50.99,20.11,2
79.12,18.96,0
79.43,31.8,0
75.11,43.92,0
58.4,39.18,0
69.43,14.29,0
69.96,20.1,0
56.1,39.41,0
88.04,20.18,0
80.53,27.75,0
67.35,35.5,0
70.32,20.32,0
72.5,31.05,0
45.5,16.66,2
67.03,23.99,0
61.82,33.2,0
57.98,14.07,0
66.63,34.4,0
91.57,29.8,0
77.69,35.52,0
63.15,32.24,0
76.87,43.64,0
