annual_income_k,spending_score,cluster
80.75,77.72,0
81.01,76.14,0
81.05,63.93,0
81.17,89.96,0
81.26,43.99,2
81.36,68.75,0
81.47,71.9,0
81.52,57.9,0
81.76,60.92,0
81.81,32.24,2
81.85,82.43,0
81.92,63.89,0
81.92,76.87,0
82.37,72.45,0
82.38,47.36,2
82.47,93.77,0
82.53,50.77,2
82.59,78.8,0
82.66,76.96,0
82.74,90.93,0
82.79,34.24,2
82.8,37.28,2
82.88,41.06,2
83.04,72.27,0
83.23,73.74,0
83.3,28.04,2
83.41,40.1,2
83.54,81.54,0
83.61,70.73,0
84.02,74.43,0
84.03,30.52,2
84.06,86.03,0
84.09,90.04,0
84.25,72.52,0
84.26,38.5,2
84.27,32.61,2
84.34,46.33,2
84.48,39.16,2
84.95,81.22,0
84.96,74.3,0
85.03,56.59,0
85.07,40.5,2
85.34,28.6,2
85.45,100.0,0
85.58,79.44,0
85.95,52.91,0
86.11,69.77,0
86.46,86.27,0
86.59,37.33,2
86.66,88.45,0
86.91,24.26,2
87.05,24.5,2
87.08,91.65,0
87.28,54.4,0
87.33,16.77,2
87.36,50.75,2
87.44,34.36,2
87.45,64.19,0
87.7,75.56,0
88.04,20.18,2
88.43,87.72,0
88.57,41.49,2
88.61,17.74,2
88.73,81.21,0
88.79,29.36,2
88.93,34.96,2
88.95,30.38,2
89.01,65.24,0
89.15,79.81,0
89.41,86.49,0
90.33,63.75,0
91.4,71.29,0
91.42,69.89,0
91.53,25.06,2
91.55,12.6,2
91.57,29.8,2
91.61,35.64,2
92.16,28.27,2
92.16,34.3,2
92.3,75.26,0
92.57,34.22,2
92.76,86.59,0
93.03,64.88,0
93.28,80.93,0
93.61,76.09,0
94.12,33.47,2
94.54,83.23,0
94.74,60.92,0
95.12,69.38,0
95.25,82.11,0
95.96,49.14,2
96.06,79.71,0
97.59,29.76,2
97.91,85.49,0
98.58,69.26,0
99.46,14.24,2
99.73,67.1,0
99.9,76.22,0
100.32,26.51,2
102.25,81.11,0
111.95,84.36,0
